timestamp_sec,tag_id,x_m,y_m,z_m,lateral_m
0.000,1,0.2778,0.2229,1.1355,0.3561
1.130,1,0.2248,0.1019,1.0061,0.2468
1.130,4,-0.1874,0.0899,0.9749,0.2079
1.331,0,0.2083,1.3853,4.4640,1.4009
1.331,1,0.2535,0.1152,1.0127,0.2784
1.331,4,-0.1522,0.0971,0.9242,0.1805
1.498,0,0.2083,1.3853,4.4640,1.4009
1.498,1,0.2535,0.1152,1.0127,0.2784
1.498,4,-0.1522,0.0971,0.9242,0.1805
1.782,1,0.2471,0.1111,0.9938,0.2709
1.975,1,0.1962,0.0826,0.9643,0.2129
6.436,4,-0.2561,0.0041,0.9511,0.2561
7.480,0,0.1899,1.4021,4.5779,1.4149
7.480,1,0.1579,0.0527,0.9047,0.1664
7.480,2,0.0181,0.4067,1.0749,0.4071
7.480,4,-0.2561,0.0041,0.9511,0.2561
7.872,1,0.0260,0.0034,1.0301,0.0262
7.872,2,0.0271,0.3748,1.0440,0.3758
7.872,3,-0.3624,0.3813,1.0455,0.5260
7.872,4,-0.3747,0.0046,1.0707,0.3747
8.186,0,-0.8256,0.9109,4.9939,1.2293
8.186,1,-0.0055,0.0115,1.0589,0.0128
8.186,2,0.0055,0.3894,1.0685,0.3894
8.186,3,-0.3886,0.4039,1.0686,0.5604
8.186,4,-0.4106,0.0227,1.0924,0.4112
8.342,0,-1.0235,1.0393,5.2495,1.4587
8.342,1,-0.0107,0.0182,1.0609,0.0211
8.342,2,-0.0022,0.3953,1.0703,0.3953
8.342,3,-0.3935,0.4064,1.0681,0.5657
8.342,4,-0.4154,0.0277,1.0960,0.4163
8.763,0,-0.9566,1.0460,5.0883,1.4175
8.763,1,-0.0037,0.0246,1.0378,0.0249
8.763,2,0.0063,0.3960,1.0521,0.3961
8.763,3,-0.3828,0.4117,1.0602,0.5622
8.763,4,-0.4082,0.0360,1.0935,0.4098
8.925,0,-0.9566,1.0460,5.0883,1.4175
8.925,1,-0.0037,0.0246,1.0378,0.0249
8.925,2,0.0063,0.3960,1.0521,0.3961
8.925,3,-0.3828,0.4117,1.0602,0.5622
8.925,4,-0.4082,0.0360,1.0935,0.4098
9.170,0,-0.9088,1.0436,5.1235,1.3839
9.170,1,0.0086,0.0234,1.0454,0.0250
9.170,2,0.0170,0.3959,1.0535,0.3963
9.170,3,-0.3727,0.4083,1.0571,0.5528
9.170,4,-0.3956,0.0326,1.0899,0.3969
10.519,0,-0.8910,1.0443,5.0569,1.3727
10.519,1,0.0102,0.0257,1.0340,0.0276
10.519,2,0.0186,0.3975,1.0494,0.3979
10.519,3,-0.3704,0.4099,1.0537,0.5524
10.519,4,-0.3931,0.0350,1.0861,0.3946
10.711,0,-0.8464,1.0212,5.0629,1.3263
10.711,1,0.0188,0.0217,1.0359,0.0287
10.711,2,0.0270,0.3921,1.0499,0.3930
10.711,3,-0.3621,0.4056,1.0576,0.5438
10.711,4,-0.3841,0.0308,1.0896,0.3853
10.916,0,-0.8478,1.0580,5.1012,1.3558
10.916,1,0.0197,0.0282,1.0434,0.0344
10.916,2,0.0277,0.4000,1.0556,0.4010
10.916,3,-0.3619,0.4121,1.0601,0.5484
10.916,4,-0.3839,0.0371,1.0925,0.3857
11.322,0,-0.7850,1.0056,5.0403,1.2757
11.322,1,0.0309,0.0203,1.0378,0.0370
11.322,2,0.0382,0.3909,1.0517,0.3928
11.322,3,-0.3504,0.4016,1.0538,0.5330
11.322,4,-0.3698,0.0276,1.0833,0.3708
12.332,1,0.0309,0.0203,1.0378,0.0370
12.332,2,0.0382,0.3909,1.0517,0.3928
12.332,3,-0.3504,0.4016,1.0538,0.5330
12.332,4,-0.3698,0.0276,1.0833,0.3708
12.867,1,0.0197,0.0178,1.0281,0.0265
12.867,4,-0.3906,0.0199,1.0977,0.3911
13.337,0,-0.9331,1.4082,4.9839,1.6893
13.337,1,0.0140,0.1149,1.0326,0.1158
13.337,4,-0.3934,0.0977,1.0870,0.4053
13.920,1,0.0455,0.1468,1.0084,0.1536
13.920,4,-0.3644,0.1279,1.0797,0.3862
14.206,0,-0.9331,1.4082,4.9839,1.6893
14.206,1,0.0455,0.1468,1.0084,0.1536
14.206,4,-0.3644,0.1279,1.0797,0.3862
15.029,0,-0.8881,1.5749,4.9171,1.8081
15.029,1,0.0269,0.1515,1.0055,0.1539
15.029,4,-0.3774,0.1284,1.0664,0.3987
15.361,0,-0.8278,1.6353,4.8660,1.8329
15.361,1,0.0411,0.1685,1.0009,0.1734
15.361,4,-0.3629,0.1403,1.0605,0.3891
15.540,0,-0.9174,1.6696,4.9811,1.9051
15.540,1,0.0283,0.1721,1.0170,0.1744
15.540,4,-0.3751,0.1380,1.0590,0.3997
16.495,0,-0.7866,1.6654,4.8834,1.8418
16.495,1,0.0546,0.1803,1.0071,0.1884
16.495,4,-0.3539,0.1436,1.0798,0.3819
16.974,0,-0.8306,1.6346,4.8875,1.8335
16.974,1,0.0458,0.1759,1.0091,0.1818
16.974,4,-0.3572,0.1351,1.0684,0.3819
17.158,0,-0.8167,1.6649,4.8951,1.8544
17.158,1,0.0480,0.1814,1.0110,0.1877
17.158,4,-0.3536,0.1416,1.0651,0.3809
17.397,0,-0.8167,1.6649,4.8951,1.8544
17.397,1,0.0480,0.1814,1.0110,0.1877
17.397,4,-0.3536,0.1416,1.0651,0.3809
17.955,0,-0.7893,1.6581,4.9382,1.8364
17.955,1,0.0563,0.1795,1.0202,0.1882
17.955,4,-0.3476,0.1370,1.0711,0.3737
18.160,0,-0.8657,1.5441,4.9533,1.7702
18.160,1,0.0399,0.1599,1.0418,0.1648
18.160,4,-0.3740,0.1171,1.1088,0.3919
